"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"NCOR2"	3.98344313941841e-232	9.22408478426921e-235	0.0505730283177051	32.7160843801282	1.65455146180065	21940.585204305
"FURIN"	3.0959796189169e-228	7.43860117033492e-231	0.0499104781978493	32.4402322720664	1.61910750554814	8950.91104463712
"CHST11"	1.33774609687166e-226	3.28720440993965e-229	0.0539478908146756	32.3233479950028	1.74377644839917	2787.70199253252
"SH2B3"	1.39820323413423e-225	3.51211427784495e-228	0.0663622775735205	32.2500515601481	2.1401868733949	1544.89625135691
"TUFT1"	1.21668477318724e-222	3.12260057553652e-225	0.0603933076914291	32.0390156582525	1.93494213077936	1846.03285291328
"ITGA5"	3.77021863614782e-220	9.88207800661252e-223	0.0486527812656534	31.8589911679615	1.55002852863922	3985.17211781926
"LAMC2"	5.54861603043384e-220	1.48464034014775e-222	0.0542763604804434	31.8462250288882	1.72849718960925	3064.33873273956
"TOB1"	7.75678319994717e-219	2.11783519902451e-221	0.050687941674054	-31.7627403442154	-1.60998792997571	4862.30974684571
"CEACAM6"	1.06756744377936e-217	2.97307593691624e-220	0.0472293388633622	-31.6795412525017	-1.49620378885026	14214.8706565907
"RNF43"	4.31728411960156e-217	1.22589840124109e-219	0.0579838991104056	-31.6348356843158	-1.83431112069363	2253.98725521579
"GJA1"	3.52687828069311e-216	1.0207205202683e-218	0.0450146106627055	31.5678352264229	1.42101381218187	8974.11784661485
"CCN2"	8.99130220386941e-214	2.65128771369491e-216	0.0622042160509839	31.3914000031299	1.95267742793755	2343.36234106645
"AMIGO2"	6.53595416032065e-212	1.96296335290578e-214	0.0393841813685107	31.2541130475099	1.23091765677507	33928.2304940225
"FCGBP"	1.54670564320978e-210	4.72972839074687e-213	0.0658912685875529	-31.1522407445888	-2.05266066200581	3465.53332701163
"NKD1"	1.73813278926969e-209	5.41001305020326e-212	0.0951311194175086	31.0739953203909	2.95610395960321	1031.26371807627
"FGF2"	1.9592536857223e-209	6.205248390318e-212	0.0526125523545315	31.0695861013371	1.63465022539022	8954.04496573025
"TRIM9"	1.96553566825498e-207	6.33247444039992e-210	0.0638779578923377	30.920508541094	1.97513894259767	1863.64343199425
"PCDH10"	1.16319527111001e-203	3.81104768561135e-206	0.163047709603989	30.6380654733065	4.99546640211967	577.888898047854
"PABPC4L"	2.26262085732457e-202	7.53671557346141e-205	0.125342196650414	30.5406037887107	3.82802636590696	611.356311489724
"FSTL1"	3.16385502516465e-201	1.07114624343476e-203	0.0522730908339818	30.4536687891606	1.59190739484379	4155.40195909212
"MUC5B"	2.28258931362984e-199	7.85251606829464e-202	0.051157559869189	-30.3124700042013	-1.55071199902292	20169.2245737173
"CCN1"	1.82428946493366e-196	6.37549968632963e-199	0.0596000696301151	30.0908908412768	1.79341918937229	2964.07950763787
"SPDL1"	3.03488929453884e-195	1.07720091817302e-197	0.0528059809675105	29.996896633884	1.58401555273326	6353.50236995103
"NAV1"	2.91967086546423e-193	1.052248550869e-195	0.0608461768541236	29.8439364399804	1.81588943465027	2864.62972327072
"LRRC8C"	3.21285741984228e-192	1.17545703669214e-194	0.0676096131000297	29.7630531413502	2.01226850756231	1667.09756192686
"ELK3"	6.76272895751316e-191	2.51114273527491e-193	0.0506305957525658	29.6601232859919	1.50170971206432	5165.16404680714
"TPM1"	1.60645234503758e-189	6.05281558497204e-192	0.0429216106708044	29.5527563586969	1.26845190267713	18728.8303903761
"COL5A1"	2.23526573614068e-189	8.54412720634783e-192	0.0543828679892686	29.5411027921367	1.60652989340219	3870.84887893757
"CHST3"	2.41869362106921e-188	9.50941630082361e-191	0.0498582543107195	29.4595150336142	1.4687999924164	4020.37138131004
"SHISAL1"	2.41869362106921e-188	9.48568091779079e-191	0.115619988354587	29.4595997680115	3.40611858210827	643.769668196499
"LMCD1"	1.6823470436994e-187	6.7062378741908e-190	0.0507572675515541	29.3932107924657	1.49191906439241	3248.28613110742
"CTPS1"	1.33206238625913e-185	5.38265803435677e-188	0.0432791040060965	29.2438092593872	1.26564586247147	7410.27780303205
"NUAK1"	1.64205348553189e-184	6.72495011275551e-187	0.0602437854809532	29.1574317759404	1.75655406508528	3129.39082570785
"FRMD8"	8.2200127608471e-182	3.41135242627849e-184	0.0579506473751411	28.9432627496474	1.67728081349087	3181.72717279633
"BMPR2"	7.70859786536504e-180	3.24120589544645e-182	0.0570145958778183	28.7856793871123	1.64120387732465	5552.43998458259
"TGM2"	1.84927362298498e-178	7.87655450187452e-181	0.0464921121946605	28.6747620753887	1.33315025556417	39890.5317659747
"ADAMTS15"	6.89072627288949e-177	2.97257344814214e-179	0.100569750172035	28.5480192451607	2.87106716339225	703.188394492237
"FSTL3"	5.4773580868338e-175	2.3927736959903e-177	0.048647863705683	28.3940803569746	1.38131135125431	8558.33376978737
"TANC2"	5.82031622014794e-175	2.57437674784024e-177	0.0629602080728589	28.3915070342801	1.78753519038031	5837.28330755121
"CMTM3"	1.14471863155881e-174	5.12569910925696e-177	0.0518599326269889	28.367270868905	1.47112475607296	2881.94958328676
"ITGA2"	4.40795443840124e-174	1.99781695182276e-176	0.0553398441853085	28.3193341078215	1.56718753695853	7241.55715827777
"MT2A"	2.97016193602482e-173	1.36238520518804e-175	0.0662071126721874	28.2515474160763	1.87045338293981	7247.41822971718
"PDLIM7"	3.61599108160515e-173	1.6783664169521e-175	0.0578382134828822	28.2441725730707	1.63359248292863	3024.01808811379
"CAPRIN2"	5.11655606534797e-170	2.40279485403771e-172	0.0576462905997773	27.986040573547	1.61329142763985	2059.2991911523
"TNFRSF12A"	1.22781511472509e-167	5.83301015568627e-170	0.0670986037175792	27.7893575811421	1.86462709190316	6292.06854945927
"TFPI2"	5.7613777418726e-167	2.76853186962698e-169	0.0413082156584314	27.733331615197	1.14561444328735	11866.1127030554
"SMTN"	3.86939729234498e-165	1.88050215157922e-167	0.0610109874802066	27.5810058817811	1.68274440454485	2484.42995448031
"TCIM"	6.5991246414728e-164	3.24316724585023e-166	0.0615448988360212	27.4777032772884	1.69111246844692	4072.20956362722
"B4GALT1"	1.18996040803156e-162	5.91308890574303e-165	0.0387800728222487	27.3719831351302	1.06148749926971	32673.340197474
