"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0037235",1195.41986090537,0.0319726832648741,0.110176633270409,0.290194774661546,0.771667233519375,0.914873396736494
"FBgn0037238",31.1920627608434,-0.640275200097269,0.404935031511604,-1.5811800666076,0.113836871737329,0.359191011667818
"FBgn0037239",1130.52187589652,-0.909156130000022,0.10446525546736,-8.70295224888518,3.23359999341578e-18,3.36981539313842e-16
"FBgn0037240",2546.19417358472,0.534945417900406,0.116028580256053,4.61046249742851,4.0177411818781e-06,8.72289276909315e-05
"FBgn0003882",1417.12695701453,-0.0681679549453892,0.0980356101539498,-0.695338712518257,0.486843058920042,0.758561698717182
"FBgn0037241",886.241232755673,0.0501515193035518,0.117281085604712,0.427618136760639,0.668929159245079,0.864495799197989
"FBgn0086608",49.9994823338587,0.252265264034082,0.301576746444081,0.836487782989121,0.402880546836511,0.701506917079364
"FBgn0267661",20.2083986486775,-0.39791082652176,0.485649329236466,-0.819337745503227,0.412593742892343,0.707922213314152
"FBgn0037242",131.971088563567,-0.0688691479929069,0.211936359545312,-0.324952019279083,0.745217385689244,0.903669384608617
"FBgn0086605",865.747834359678,-0.0917392440939299,0.114950531102357,-0.798075861104471,0.424826468509734,0.714993811252856
"FBgn0037244",412.629393539845,-0.0819559378323566,0.133537437233644,-0.613730048517872,0.539393728549961,0.792130617389647
"FBgn0263594",16321.6681999413,0.0926497623980378,0.0882864276252026,1.04942248644784,0.293983713360853,0.602883165556848
"FBgn0052944",38.2993614416667,0.0158946195891364,0.36789869582635,0.0432037943310315,0.965539080475897,0.986111991386991
"FBgn0037248",2623.97707888401,-0.251100207247534,0.0940102833310617,-2.67098660221321,0.00756286653738484,0.0534788959475635
"FBgn0051525",52.1345854717836,0.076858263670311,0.313151004650327,0.24543514958904,0.806119515687731,0.928962353040031
"FBgn0037249",13772.7653107625,-0.108130687721123,0.092531241557667,-1.1685857219773,0.242570583577231,0.548799117636961
"FBgn0037250",338.119324229461,0.0594621011292112,0.146773009627865,0.405129671183919,0.685382197414898,0.874106070039469
"FBgn0037252",2609.67148716174,-0.0214954719550419,0.0981460954901154,-0.219015049429111,0.82663832460436,0.93598855252296
"FBgn0051522",1073.15021672779,0.171830409149925,0.111094408349114,1.54670619073778,0.121934109622742,0.376644932169249
"FBgn0263620",123.845332410802,0.225876478602994,0.214888534543457,1.05113322626952,0.29319740575467,0.60266165542021
"FBgn0051523",6943.15364654075,-0.778036974754469,0.0901333653325353,-8.63206396303969,6.02546714183958e-18,6.12613653189226e-16
"FBgn0037254",10.5022029330742,0.00995333056632263,0.653318345392924,0.0152350391451757,0.987844667706428,NA
"FBgn0037255",1745.29614934779,-0.0421809133337575,0.122444449583886,-0.344490203329793,0.730477662311829,0.896491463496513
"FBgn0085386",184.7447157267,0.335656623983722,0.173763817624671,1.93168306596911,0.053398636152799,0.220606754016792
"FBgn0051526",12.1584717936325,0.348084783121946,0.736324188156043,0.472733055250631,0.636403640469043,NA
"FBgn0037260",18.5918361039191,0.685527315153731,0.502105755409597,1.36530463506539,0.17215732279067,0.460323290667563
"FBgn0037261",2162.50054799437,-0.00979345852184999,0.103035663207948,-0.0950492112821625,0.924275738874591,0.972817426460986
"FBgn0037262",885.426438124136,0.161012765515807,0.126335959905078,1.27448088126914,0.202493044100192,0.502286375680839
"FBgn0037263",15.3917055586569,0.173294644026006,0.541783421682147,0.319859628572529,0.749074743054978,0.905813125866621
"FBgn0040466",221.700158109989,0.513693503939937,0.173752065087936,2.95647423632034,0.00311178227380711,0.0269677014726922
"FBgn0087013",14442.6413564607,-0.166857156413172,0.0930362199759854,-1.79346448572654,0.0728986844087245,0.269754252958516
"FBgn0037265",227.095309800813,-0.119870440546792,0.166146328302508,-0.721475110352968,0.470617248859694,0.748052622258011
"FBgn0263346",2891.98426231285,0.0454381528071315,0.126605128116662,0.358896621985658,0.719672426778191,0.890326312813441
"FBgn0037270",7988.84059239632,-0.0969873422362169,0.102256792776762,-0.948468454784721,0.342891024584034,0.653009887528424
"FBgn0027570",39.4601557688146,-1.00187264492325,0.357126035113095,-2.80537554369559,0.00502579859335413,0.0392646291553574
"FBgn0026620",4619.05629608561,0.0290348358343339,0.0961866522732783,0.301859303220599,0.762759320716466,0.911833159852764
"FBgn0010750",1335.57056464315,-0.0601283960086824,0.122514883590418,-0.490784419382865,0.623578930991146,0.842180066041339
"FBgn0037275",12.9007070858672,0.444749892103811,0.623699513430425,0.713083596390241,0.475794029370979,0.750628681006107
"FBgn0260794",9598.41721288455,0.0973281685486782,0.106687292480257,0.912275176227658,0.361623878545806,0.668038616316504
"FBgn0026417",257.62992852221,0.328434847255937,0.192304542561488,1.70788917870166,0.087656907469632,0.304498182322634
"FBgn0037279",1542.51288920705,-0.110263423329195,0.119675575217741,-0.921352775021791,0.356866275999663,0.664699317026182
"FBgn0037282",1269.87951213065,-0.0242487953515183,0.103536125331325,-0.234206131182907,0.814824955384008,0.93193060793721
"FBgn0004913",2386.17468984912,-0.12799760267309,0.0973368437067579,-1.31499643710148,0.18851109990056,0.484767748263717
"FBgn0265082",4942.23756685506,-0.0900981318456174,0.100066166298455,-0.900385566654894,0.367915099096048,0.673897652682641
"FBgn0004436",2333.80953732243,-0.208431585424911,0.120124269892488,-1.73513300527411,0.0827172494698343,0.292838529834789
"FBgn0037290",102.193870867952,3.08291708540737,0.266719874619569,11.5586327783208,6.67632924839074e-31,1.68668354375253e-28
"FBgn0010313",83.2358972629009,0.316301149295607,0.304114779589178,1.04007161283937,0.29830663100475,0.606042318573764
"FBgn0037293",1029.05402109279,-0.151905852918794,0.109419942683527,-1.3882830605948,0.165050868297283,0.448510133309795
"FBgn0259212",4945.66229745531,-0.129419882723865,0.104956849002769,-1.23307705932036,0.217547015483035,0.521264678897723
"FBgn0037296",8.41717577158955,0.525983447999993,0.773616377880952,0.679902162155277,0.496566412503321,NA
"FBgn0037297",450.607837282127,0.00776793868858755,0.137727902182942,0.0564006171986087,0.955022665286318,0.982770516135287
"FBgn0037298",1915.37135095284,0.155212434052368,0.0939443137102187,1.65217486745539,0.0984989082854284,0.328211590078184
"FBgn0037299",672.920445102011,-0.08905939446546,0.124178082850915,-0.717190927906193,0.473256296267682,0.749269524861715
"FBgn0040208",1442.00626303579,-0.0908773674796704,0.106868299532921,-0.850367862844821,0.395120597599709,0.695549075631076
"FBgn0037301",1349.78765371941,0.161729416565829,0.0992196274253517,1.63001435061331,0.103098464018383,0.339467572875696
"FBgn0260462",8177.53232695544,-0.0614163610309342,0.0850051080969095,-0.722502004949125,0.469985893129756,0.74762313860435
"FBgn0264789",67.669813226383,-0.589322514397849,0.397492664988454,-1.48259972146899,0.138180791194466,0.403319680812282
"FBgn0037304",12.8948188552139,0.0837594441264829,0.579915407856723,0.144433900171828,0.885157848984509,0.954642684758232
"FBgn0037305",817.665276238877,0.196591092168591,0.139974039440042,1.40448252372399,0.160175212178682,0.440574313406029
"FBgn0264785",2142.72119478837,-0.223438116650641,0.0930147113157376,-2.40218040232563,0.0162976688301947,0.0950165489771563
"FBgn0267443",30.472617411166,-0.855191353916999,0.388025209318876,-2.20395823100816,0.0275272817103761,0.138919459818042
"FBgn0013576",3829.34180561296,-0.484865841564655,0.0913257824280146,-5.30918902279144,1.10114088515685e-07,3.18757345817801e-06
"FBgn0051538",19.1923361173935,-0.198986278720709,0.494298605860199,-0.40256289692427,0.687269809278175,0.874799758137083
